"Url_suurEelnou"	"Url_istungiProtokoll"	"Id_custom"	"Tyyp_custom"	"Istungi_pidaja"	"Istungi_kp"	"Protokolli_nr"	"Toimumise_koht"	"Istungi_kellaaeg"	"Istungit_juhatas"	"Protokollija"	"Istungist_votsid_osa"	"Puudusid"	"Kutsutud"	"Kylalised"	"Seisund"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GB481FE6693D0DD26C225803B002DC246?OpenDocument"	"0"	"Istungi protokoll"	"Tartu Linnavalitsus"	"27.09.2016"	"72"	"Raekoda, istungite ruum"	"08:30 - 10:30"	"Urmas Klaas"	"Sandra Õnne"	"linnapea Urmas Klaas, abilinnapead Jarno Laur, Valvo Semilarski, Artjom Suvorov, Tiia Teppan ja Jaan Õunapuu ning linnasekretär Jüri Mölder"	""	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, arhitektuuri ja ehituse osakonna juhataja - linnaarhitekt Tõnis Arjus, sisekontrolliteenistuse juhataja – linna sisekontrolör Raivo Bachmann, ettevõtluse osakonna juhataja Malle Blumenau, linnamajanduse osakonna juhataja Rein Haak, SA Teaduskeskus Ahhaa juhatuse esimees Andres Juur, linnavarade osakonna juhataja Kunnar Jürgenson, Jõululinn Tartu projektijuht Ragnar Kekkonen, sotsiaal- ja tervishoiuosakonna juhataja asetäitja Tiina Kruuse, rahandusosakonna juhataja Külli Lust, SA Tartu Pauluse Kirik juhataja Küllike Lääne, kultuuriosakonna juhataja asetäitja Marianne Menning, avalike suhete osakonna juhataja Indrek Mustimets, Tiigi Seltsimaja direktor Maris Peebo, haridusosakonna juhataja Riho Raave, linnavolikogu esimees Vladimir Šokman, linnamajanduse osakonna projektijuht Jaanus Tamm, meediaspetsialist Helle Tolmoff ja asjaajamisteenistuse spetsialist Sandra Õnne"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G1654B2C00F30D3E4C2257FE3001FB7AF?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6C02C65DBC4E7E23C2257FD90026C49F?OpenDocument"	"5"	"Istungi protokoll"	"Tartu Linnavalitsus"	"21.06.2016"	"53"	"Raekoda, istungite ruum"	"08:30 - 09:15"	"Urmas Klaas"	"Sandra Õnne"	"linnapea Urmas Klaas, abilinnapead Jarno Laur, Valvo Semilarski, Tiia Teppan ja Jaan Õunapuu ning linnasekretär Jüri Mölder"	"abilinnapea Artjom Suvorov"	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, arhitektuuri ja ehituse osakonna juhataja Tõnis Arjus, sisekontrolliteenistuse juhataja – linna sisekontrolör Raivo Bachmann, ajutise liikluskorralduse peaspetsialist Toomas Henno, sotsiaal- ja tervishoiuosakonna juhataja Sirje Kree, kommunikatsioonijuht Lilian Lukka, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja asetäitja Eva Lääne, kultuuriosakonna juhataja asetäitja Marianne Menning, avalike suhete osakonna juhataja Indrek Mustimets, ettevõtluse osakonna juhataja asetäitja Ene Palu, linnamajanduse osakonna juhataja asetäitja Andres Pool, haridusosakonna juhataja Riho Raave ja asjaajamisteenistuse spetsialist Sandra Õnne"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF636104200BB60B5C2257FE3001F910B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6C02C65DBC4E7E23C2257FD90026C49F?OpenDocument"	"8"	"Istungi protokoll"	"Tartu Linnavalitsus"	"21.06.2016"	"53"	"Raekoda, istungite ruum"	"08:30 - 09:15"	"Urmas Klaas"	"Sandra Õnne"	"linnapea Urmas Klaas, abilinnapead Jarno Laur, Valvo Semilarski, Tiia Teppan ja Jaan Õunapuu ning linnasekretär Jüri Mölder"	"abilinnapea Artjom Suvorov"	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, arhitektuuri ja ehituse osakonna juhataja Tõnis Arjus, sisekontrolliteenistuse juhataja – linna sisekontrolör Raivo Bachmann, ajutise liikluskorralduse peaspetsialist Toomas Henno, sotsiaal- ja tervishoiuosakonna juhataja Sirje Kree, kommunikatsioonijuht Lilian Lukka, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja asetäitja Eva Lääne, kultuuriosakonna juhataja asetäitja Marianne Menning, avalike suhete osakonna juhataja Indrek Mustimets, ettevõtluse osakonna juhataja asetäitja Ene Palu, linnamajanduse osakonna juhataja asetäitja Andres Pool, haridusosakonna juhataja Riho Raave ja asjaajamisteenistuse spetsialist Sandra Õnne"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G99AB71CEA719D30AC2257FE3001F87A9?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6C02C65DBC4E7E23C2257FD90026C49F?OpenDocument"	"9"	"Istungi protokoll"	"Tartu Linnavalitsus"	"21.06.2016"	"53"	"Raekoda, istungite ruum"	"08:30 - 09:15"	"Urmas Klaas"	"Sandra Õnne"	"linnapea Urmas Klaas, abilinnapead Jarno Laur, Valvo Semilarski, Tiia Teppan ja Jaan Õunapuu ning linnasekretär Jüri Mölder"	"abilinnapea Artjom Suvorov"	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, arhitektuuri ja ehituse osakonna juhataja Tõnis Arjus, sisekontrolliteenistuse juhataja – linna sisekontrolör Raivo Bachmann, ajutise liikluskorralduse peaspetsialist Toomas Henno, sotsiaal- ja tervishoiuosakonna juhataja Sirje Kree, kommunikatsioonijuht Lilian Lukka, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja asetäitja Eva Lääne, kultuuriosakonna juhataja asetäitja Marianne Menning, avalike suhete osakonna juhataja Indrek Mustimets, ettevõtluse osakonna juhataja asetäitja Ene Palu, linnamajanduse osakonna juhataja asetäitja Andres Pool, haridusosakonna juhataja Riho Raave ja asjaajamisteenistuse spetsialist Sandra Õnne"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G89E39764914D8FDAC2257FE3001F7F52?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G473E50A35D254391C2257FD2002DC973?OpenDocument"	"10"	"Istungi protokoll"	"Tartu Linnavalitsus"	"14.06.2016"	"50"	"Raekoda, istungite ruum"	"08:30 - 10:05"	"Urmas Klaas"	"Sandra Õnne"	"linnapea Urmas Klaas, Abilinnapead Jarno Laur, Valvo Semilarski, Artjom Suvorov, Tiia Teppan ja Jaan Õunapuu ning linnasekretär Jüri Mölder"	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, sisekontrolliteenistuse juhataja – linna sisekontrolör Raivo Bachmann, ettevõtluse osakonna juhataja Malle Blumenau, kultuuriosakonna juhataja Katriin Fisch-Uibopuu, linnamajanduse osakonna juhataja Rein Haak, linnavarade osakonna juhataja Kunnar Jürgenson, sotsiaal- ja tervishoiuosakonna juhataja Sirje Kree, kommunikatsioonijuht Lilian Lukka, rahandusosakonna juhataja Külli Lust, avalike suhete osakonna juhataja Indrek Mustimets, haridusosakonna juhataja Riho Raave, arhitektuuri ja ehituse osakonna juhataja asetäitja Signe Sarik, linnavolikogu esimees Vladimir Šokman ja asjaajamisteenistuse spetsialist Sandra Õnne"	""	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GB6AD00D4F215D67FC2257F7A002349B2?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA7173A40B5EA1C1EC2257F7700340054?OpenDocument"	"16"	"Istungi protokoll"	"Tartu Linnavalitsus"	"15.03.2016"	"19"	"Raekoda, istungite ruum"	"08:30 - 10:15"	"Valvo Semilarski"	"Reet Saks"	"abilinnapead Jarno Laur, Kajar Lember, Valvo Semilarski (linnapea ülesannetes), Artjom Suvorov ja Tiia Teppan ning õigusteenistuse juhataja Anneli Apuhtin linnasekretäri ülesannetes"	"linnapea Urmas Klaas ja linnasekretär Jüri Mölder"	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, arhitektuuri ja ehituse osakonna juhataja Tõnis Arjus, sisekontrolliteenistuse juhataja-linna sisekontrolör Raivo Bachmann, ettevõtluse osakonna juhataja Malle Blumenau, linnamajanduse osakonna juhataja Rein Haak, linnavarade osakonna juhataja Kunnar Jürgenson, sotsiaal- ja tervishoiuosakonna juhataja Sirje Kree, rahandusosakonna juhataja Külli Lust, kultuuriosakonna juhataja asetäitja Marianne Menning, avalike suhete osakonna juhataja Indrek Mustimets, SA Tartu Eluasemefond juhataja Andres Püss, inseneriteenistuse juhataja-linnainsener Mati Raamat, haridusosakonna juhataja Riho Raave, üldplaneeringu- ja arenguteenistuse juhataja Indrek Ranniku, meediaspetsialist Helle Tolmoff ja asjaajamisteenistuse juhataja Reet Saks"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257F1F00222C2E?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GFD5B35B4B3493290C2257F1C003564FE?OpenDocument"	"23"	"Istungi protokoll"	"Tartu Linnavalitsus"	"15.12.2015"	"89"	"Raekoda, istungite ruum"	"08:30 - 10:00"	"Urmas Klaas"	"Sandra Õnne"	"linnapea Urmas Klaas, abilinnapead Jarno Laur, Kajar Lember, Valvo Semilarski, Artjom Suvorov ja Tiia Teppan ning linnasekretär Jüri Mölder"	""	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, arhitektuuri- ja ehituse osakonna juhataja Tõnis Arjus, sisekontrolliteenistuse juhataja – linna sisekontrolör Raivo Bachmann, ettevõtluse osakonna juhataja Malle Blumenau, kultuuriosakonna juhataja Katriin Fisch-Uibopuu, sotsiaalabi osakonna juhataja Meida Griin, linnamajanduse osakonna juhataja Rein Haak, linnavarade osakonna juhataja Kunnar Jürgenson, tervishoiuosakonna juhataja Sirje Kree, SA Tartu Sport juhatuse liige Eve Lill, rahandusosakonna juhataja Külli Lust, avalike suhete osakonna juhataja Indrek Mustimets, haridusosakonna juhataja Riho Raave, linnavolikogu esimees Vladimir Šokman, meediaspetsialist Helle Tolmoff ja asjaajamisteenistuse spetsialist Sandra Õnne"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257F1F00222C2E?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G3006CA174165FE5BC2257F1E00294592?OpenDocument"	"23"	"Istungi protokoll"	"Tartu Linnavalitsus"	"17.12.2015"	"90"	"Elektrooniline istung"	"09:00"	"Urmas Klaas"	"Jüri Mölder"	"linnapea Urmas Klaas, abilinnapead Jarno Laur , Valvo Semilarski, Artjom Suvorov ja linnasekretär Jüri Mölder"	"abilinnapead Kajar Lember ja Tiia Teppan"	""	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257F11002204EF?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4455429C6A947503C2257F07002936FB?OpenDocument"	"25"	"Istungi protokoll"	"Tartu Linnavalitsus"	"24.11.2015"	"83"	"Raekoda, istungite ruum"	"08:30 - 09:10"	"Urmas Klaas"	"Sandra Õnne"	"linnapea Urmas Klaas, abilinnapead Jarno Laur, Kajar Lember, Valvo Semilarski, Artjom Suvorov ja Tiia Teppan ning linnasekretär Jüri Mölder"	""	"linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, õigusteenistuse juhataja Anneli Apuhtin, arhitektuuri- ja ehituse osakonna juhataja Tõnis Arjus, sisekontrolliteenistuse juhataja – linna sisekontrolör Raivo Bachmann, sotsiaalabi osakonna juhataja Meida Griin, linnamajanduse osakonna juhataja Rein Haak, linnavarade osakonna juhataja Kunnar Jürgenson, tervishoiuosakonna juhataja Sirje Kree, rahandusosakonna juhataja Külli Lust, kultuuriosakonna juhataja asetäitja Marianne Menning, avalike suhete osakonna juhataja Indrek Mustimets, ettevõtluse osakonna juhataja asetäitja Ene Palu, SA Tartu Muusikafestival juhataja Aile Parmsoo, haridusosakonna juhataja Riho Raave, linnavolikogu esimees Vladimir Šokman, meediaspetsialist Helle Tolmoff ja asjaajamisteenistuse spetsialist Sandra Õnne"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GC2257ED20030C63DC2257EFC0020E44C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9AA2B3FD9BF28849C2257EF80027C3D6?OpenDocument"	"27"	"Istungi protokoll"	"Tartu Linnavalitsus"	"09.11.2015"	"76"	"Raekoda, istungite ruum"	"09:15 - 09:25"	"Urmas Klaas"	"Jüri Mölder"	"linnapea Urmas Klaas, abilinnapead Jarno Laur, Kajar Lember, Valvo Semilarski, Artjom Suvorov, Tiia Teppan ja linnasekretär Jüri Mölder"	""	"linnakantselei õigusteenistuse juhataja Anneli Apuhtin, sisekontrolliteenistuse juhataja Raivo Bachmann"	""	"Allkirjastatud"
