"Url_suurEelnou"	"Url_koosolekuProtokoll"	"Id_custom"	"Tyyp_custom"	"Asutuse_nimetus"	"Organi_nimetus"	"Reg_nr"	"Sarja_indeks"	"Teema"	"Kuupaev"	"Kellaaeg"	"Toimumise_koht"	"Juhataja"	"Protokollija"	"Koosolekul_osalesid"	"Puudusid"	"Kutsutud"	"Seisund"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5E6B0C3A0C66C120C22580270040A0B6?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Hariduskomisjon"	"34"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"hariduskomisjoni koosolek"	"07.09.2016"	"15:00 - 16:00"	"Tartu, raekoda"	"Vladimir Šokman"	"Ülle Saar"	"Vladimir Šokman, Tiiu Laan, Ragnar Kekkonen, Arvo Lehemets, Margot Fjuk, Peeter Tulviste, Helmer Jõgi;  Piret Uluots, Toomas Mälksoo, Jelena Frunze, elektrooniliselt Mihkel Lees"	"Ene Ergma, Evert Rööpson, Märt Põder"	"abilinnapea Jaan Õunapuu, abilinnapea Tiia Teppan, rahandusosakonna juhataja Külli Lust, noorsooteenistuse juhataja Piret Talur"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4C7310FE4B5FA16DC2257FE3002F7859?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"43"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"07.09.2016"	"17:00 - 19:30"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Elmut Paavel, Jelena Frunze, Raimond Tamm, Verni Loodmaa, Toomas Kapp, Veljo Ipits, Toivo Maimets, Jüri-Ott Salm, Tarmo Punger, Martin Hallik; elektrooniliselt Udo Viilukas, Triin Lukk, Triin Anette Kaasik, Kadri Leetmaa"	""	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna detailplaneeringute teenistuse juhataja Aire Priks, linnaplaneerimise ja maakorralduse osakonna üldplaneeringu- ja arenguteenistuse juhataja Indrek Ranniku, linnakantselei õigusteenistuse vanemjurist Marili Jõesuu, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G70BEA88622DB6D70C2258028002A2A25?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni koosolek"	"08.09.2016"	"17:00 - 17:50"	"Tartu, raekoda"	"Olev Raju"	"Aune Rumm"	"Väino Peebo, Mati Tolmoff, Riina Kallas, Olev Raju, Jüri Kõre, Arno Arukask, Ilme-Tiiu Tinni, Harri Jallajas, Lembit Kalev; elektrooniliselt Roman Mugur, Kalle Pilt, Alo Pettai"	"Karl Kull, Triin Anette Kaasik, Tõnis Lukas"	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnavarade osakonna juhataja Kunnar Jürgenson"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF851F1BB61B97604C22580280029BDFC?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Kultuurikomisjon"	"32"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Kultuurikomisjoni koosolek"	"08.09.2016"	"14:30 - 15:45"	"Tartu, raekoda"	"Nikolai Põdramägi"	"Aune Rumm"	"Nikolai Põdramägi, Natalja Trošina, Igor Rosenfeld, Ragnar Kekkonen, Priit Tannik, Mati Tolmoff, Lemmit Kaplinski, Joel Luhamets, Tarmo Kikerpill, Merle Jääger; elektrooniliselt Jaan Vaiksaar, Evert Rööpson, Gea Kangilaski, Rein Kilk"	"Martin Parmas"	"abilinnapea Jaan Õunapuu, abilinnapea Jarno Laur, abilinnapea Tiia Teppan, kultuuriosakonna noorsooteenistuse juhataja Piret Talur, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCBC16BE6D6991430C2258028001FACC0?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnamajanduskomisjon"	"36"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnamajanduskomisjoni koosolek"	"07.09.2016"	"15:00 - 17:00"	"Tartu, raekoda"	"Kadri Leetmaa"	"Aune Rumm"	"Nikolai Põdramägi, Ants Kask, Aleksandr Litvinenko, Raimond Tamm, Jaan Sõrra, Auli Solo, Verni Loodmaa, Kadri Leetmaa, Martin Bek, Peeter Järve, Riina Kallas, Toomas Kapp; elektrooniliselt Argo Annuk, Karl Kull"	""	"abilinnapea Valvo Semilarski, linnamajanduse osakonna juhataja Rein Haak, abilinnapea Jaan Õunapuu, rahanduosakonna juhataja Külli Lust, linnamajanduse osakonna projektijuht Jaanus Tamm"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6005AB577F4EEBAFC2258028003D3D9D?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Sotsiaalkomisjon"	"29"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Sotsiaalkomisjoni koosolek"	"08.09.2016"	"16:00 - 16:45"	"Tartu, raekoda"	"Toomas Tein"	"Ülle Saar"	"Toomas Tein, Nikolai Põdramägi, Piret Tarto, Lii Laanoja, Senta-Ellinor Michelson, Jüri Kõre, Roman Mugur, Avo Rosenvald, Hele Everaus, Joel Luhamets ja Harri Jallajas, elektrooniliselt Oleg Nesterenko, Tiia Mürk, Nadežda Aleksandrova, Tiina Talvik"	""	"abilinnapea Jaan Õunapuu, abilinnapea Artjom Suvorov, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"33"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"09.09.2016"	"09:00 - 10:40"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Peeter Laurson, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Oleg Bulkin, Heljo Pikhof, elektrooniliselt Mihkel Lees, Jüri Kõre, Taavi Toomere"	"Igor Abarenkov, Jaak Nigul, Priit Tannik, Aivar Riisalu"	"abilinnapead Jarno Laur, Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja Kunnar Jürgenson ja juhataja asetäitja Mait Raig"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5FD16FF0342469CEC225804400233F66?OpenDocument"	"0"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"34"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"07.10.2016"	"09:00 - 10:00"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Mihkel Lees, Jüri Kõre, Taavi Toomere, Igor Abarenkov, Priit Tannik, elektrooniliselt Jaak Nigul"	"Peeter Laurson, Oleg Bulkin, Heljo Pikhof, Aivar Riisalu"	"abilinnapead  Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5B90DB4783DB70F1C22580300019F723?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4C7310FE4B5FA16DC2257FE3002F7859?OpenDocument"	"1"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Arengu- ja planeerimiskomisjon"	"43"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Arengu- ja planeerimiskomisjoni koosolek"	"07.09.2016"	"17:00 - 19:30"	"Tartu, raekoda"	"Verni Loodmaa"	"Aune Rumm"	"Ants Kask, Elmut Paavel, Jelena Frunze, Raimond Tamm, Verni Loodmaa, Toomas Kapp, Veljo Ipits, Toivo Maimets, Jüri-Ott Salm, Tarmo Punger, Martin Hallik; elektrooniliselt Udo Viilukas, Triin Lukk, Triin Anette Kaasik, Kadri Leetmaa"	""	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnaplaneerimise ja maakorralduse osakonna juhataja Urmas Ahven, linnaplaneerimise ja maakorralduse osakonna detailplaneeringute teenistuse juhataja Aire Priks, linnaplaneerimise ja maakorralduse osakonna üldplaneeringu- ja arenguteenistuse juhataja Indrek Ranniku, linnakantselei õigusteenistuse vanemjurist Marili Jõesuu, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5B90DB4783DB70F1C22580300019F723?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument"	"1"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"33"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"09.09.2016"	"09:00 - 10:40"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Peeter Laurson, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Oleg Bulkin, Heljo Pikhof, elektrooniliselt Mihkel Lees, Jüri Kõre, Taavi Toomere"	"Igor Abarenkov, Jaak Nigul, Priit Tannik, Aivar Riisalu"	"abilinnapead Jarno Laur, Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja Kunnar Jürgenson ja juhataja asetäitja Mait Raig"	"Allkirjastatud"
