"Url"	"Id_custom"	"Tyyp_custom"	"Staatus"	"Akti_valjaandja"	"Akti_liik"	"Pealkiri"	"Reg_nr"	"Koostaja"	"Koostamise_kp"	"Ettekandja"	"Esitab"	"Juhtiv_komisjon"	"Seosed_urls"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"0"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Tartu linna 2016. aasta II lisaeelarve"	"LVK-M-0124"	"Tiina Ligi"	"01.09.2016"	"Jaan Õunapuu"	"linnavalitsus, 01.09.2016 istungi protokoll nr 67"	"Rahanduskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G11686A6144B76509C22580100018F665?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5E6B0C3A0C66C120C22580270040A0B6?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4C7310FE4B5FA16DC2257FE3002F7859?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G70BEA88622DB6D70C2258028002A2A25?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF851F1BB61B97604C22580280029BDFC?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCBC16BE6D6991430C2258028001FACC0?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6005AB577F4EEBAFC2258028003D3D9D?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GB481FE6693D0DD26C225803B002DC246?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5FD16FF0342469CEC225804400233F66?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5B90DB4783DB70F1C22580300019F723?OpenDocument"	"1"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Tartu linna arengukava 2013-2020 uue redaktsiooni kinnitamine ja Tartu linna eelarvestrateegia 2017-2020 vastuvõtmine"	"LVK-M-0127"	"Indrek Ranniku"	"01.09.2016"	"Jarno Laur"	"linnavalitsus, 01.09.2016. a istungi protokoll nr 67"	"Arengu- ja planeerimiskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF5120B69FDED01DFC22580210035F182?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4C7310FE4B5FA16DC2257FE3002F7859?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G269085593163EB88C22580300019BA4C?OpenDocument"	"2"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Perearsti toetus"	"LVK-M-0125"	"Anneli Apuhtin"	"01.09.2016"	"Artjom Suvorov"	"linnavalitsus, 01.09.2016 istungi protokoll nr 67"	"Sotsiaalkomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G3AF7953AB58B2DE4C2258009002ADDB4?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6005AB577F4EEBAFC2258028003D3D9D?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDA3408814D17AA18C22580300019B24B?OpenDocument"	"3"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Noorte projektlaagri pidamise loa lahendamise kord"	"LVK-M-0123"	"Anneli Apuhtin"	"16.08.2016"	"Tiia Teppan"	"linnavalitsus, 09.08.2016 istungi protokoll nr  62"	"Hariduskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDE13BDA92DC4D448C225800300219AB8?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5E6B0C3A0C66C120C22580270040A0B6?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G28EC35F80F5C9174C22580300019A01B?OpenDocument"	"4"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Targa linna korterelamu rekonstrueerimise toetus"	"LVK-M-0126"	"Anneli Apuhtin"	"01.09.2016"	"Jaan Õunapuu"	"linnavalitsus, 01.09.2016 istungi protokoll nr 67"	"Rahanduskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9351264752B0958CC225801900395A4A?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G1654B2C00F30D3E4C2257FE3001FB7AF?OpenDocument"	"5"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Spordi valdkonna toetused"	"LVK-M-0120"	"Anneli Apuhtin"	"10.06.2016"	"Tiia Teppan"	"linnavalitsus, 10.06.2016 istungi protokoll nr 49"	"Kultuurikomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA14C65B9002F5F05C2257FB800387BEC?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCF8DAE607AA30B28C2257FCE003B54C6?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6C02C65DBC4E7E23C2257FD90026C49F?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6145DD21822BFFB5C2257FE3001FA234?OpenDocument"	"6"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Tartu Täiskasvanute Gümnaasiumi põhimäärus"	"LVK-M-0118"	"Kairit Peekman"	"07.06.2016"	"Tiia Teppan"	"linnavalitsus, 07.06.2016 istungi protokoll nr 48"	"Hariduskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GFA2C5DDA0A9FF430C2257FBD003A692F?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G267ED82418119991C2257FD3003EAA52?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GD2AC9C3CAC185806C2257FE3001F99CC?OpenDocument"	"7"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Tartu Herbert Masingu Kooli põhimäärus"	"LVK-M-0119"	"Kairit Peekman"	"10.06.2016"	"Tiia Teppan"	"linnavalitsus, 10.06.2016 istungi protokoll nr 49"	"Hariduskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GB25C965B37F6B68AC2257FBE0048A564?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G267ED82418119991C2257FD3003EAA52?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF636104200BB60B5C2257FE3001F910B?OpenDocument"	"8"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Tartu linna koolieelsete munitsipaallasteasutuste rahastamisel vanemate poolt kaetava osa määra kehtestamine"	"LVK-M-0121"	"Kairit Peekman"	"10.06.2016"	"Tiia Teppan"	"linnavalitsus, 10.06.2016 istungi protokoll nr 49"	"Hariduskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9C1C5537040F54FFC2257FAB00309D8B?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G267ED82418119991C2257FD3003EAA52?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GBF6852D5B263F2DAC2257FD5002FDF34?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GEC2D1758162AF4AAC2257FD500322EA0?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6C02C65DBC4E7E23C2257FD90026C49F?OpenDocument']"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G99AB71CEA719D30AC2257FE3001F87A9?OpenDocument"	"9"	"Suur eelnõu"	"Lõpetatud"	"Tartu Linnavolikogu"	"Määrus"	"Eraüldhariduskooli toetus"	"LVK-M-0122"	"Kairit Peekman"	"12.06.2016"	"Tiia Teppan"	"linnavalitsus, 10.06.2016 istungi protokoll nr  49"	"Hariduskomisjon"	"['http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G79BB2F25E3047D50C2257FC30027962C?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G267ED82418119991C2257FD3003EAA52?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GEC2D1758162AF4AAC2257FD500322EA0?OpenDocument', 'http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6C02C65DBC4E7E23C2257FD90026C49F?OpenDocument']"
