"Url_suurEelnou"	"Url_vaikeEelnou"	"Id_custom"	"Tyyp_custom"	"Staatus"	"Akti_valjaandja"	"Akti_liik"	"Pealkiri"	"Reg_nr"	"Koostaja"	"Koostamise_kp"	"Ettekandja"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GCEEC620C5BCC449EC225804C001AD15C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G11686A6144B76509C22580100018F665?OpenDocument"	"0"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu määruse ""Tartu linna 2016. a II lisaeelarve"" eelnõu esitamine"	"LV-IP-0205"	"Tiina Ligi"	"15.08.2016"	"Külli Lust"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5B90DB4783DB70F1C22580300019F723?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF5120B69FDED01DFC22580210035F182?OpenDocument"	"1"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule määruse ""Tartu linna arengukava 2013-2020 uue redaktsiooni kinnitamine ja Tartu linna eelarvestrateegia 2017-2020 vastuvõtmine"" eelnõu esitamine"	"LV-IP-0218"	"Indrek Ranniku"	"01.09.2016"	"Urmas Ahven"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G269085593163EB88C22580300019BA4C?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G3AF7953AB58B2DE4C2258009002ADDB4?OpenDocument"	"2"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu määruse ""Perearsti toetus"" eelnõu esitamine"	"LV-IP-0199"	"Anneli Apuhtin"	"08.08.2016"	"Sirje Kree"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDA3408814D17AA18C22580300019B24B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDE13BDA92DC4D448C225800300219AB8?OpenDocument"	"3"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu määruse ""Noorte projektlaagri pidamise loa lahendamise kord"" eelnõu esitamine"	"LV-IP-0195"	"Anneli Apuhtin"	"02.08.2016"	"Marianne Menning"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G28EC35F80F5C9174C22580300019A01B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9351264752B0958CC225801900395A4A?OpenDocument"	"4"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu määruse ""Targa linna korterelamu rekonstrueerimise toetus"" eelnõu esitamine"	"LV-IP-0210"	"Anneli Apuhtin"	"24.08.2016"	"Jüri Mölder"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G1654B2C00F30D3E4C2257FE3001FB7AF?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA14C65B9002F5F05C2257FB800387BEC?OpenDocument"	"5"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu määruse ""Spordivaldkonna toetused"" eelnõu esitamine"	"LV-IP-0151"	"Anneli Apuhtin"	"19.05.2016"	"Katriin Fisch-Uibopuu"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6145DD21822BFFB5C2257FE3001FA234?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GFA2C5DDA0A9FF430C2257FBD003A692F?OpenDocument"	"6"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule määruse ""Tartu Täiskasvanute Gümnaasiumi põhimäärus"" eelnõu esitamine"	"LV-IP-0157"	"Kairit Peekman"	"24.05.2016"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GD2AC9C3CAC185806C2257FE3001F99CC?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GB25C965B37F6B68AC2257FBE0048A564?OpenDocument"	"7"	"Väike eelnõu"	"Istungi päevakorda võetud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule määruse ""Tartu Herbert Masingu Kooli põhimäärus"" eelnõu esitamine"	"LV-IP-0159"	"Kairit Peekman"	"25.05.2016"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF636104200BB60B5C2257FE3001F910B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9C1C5537040F54FFC2257FAB00309D8B?OpenDocument"	"8"	"Väike eelnõu"	"Istungi päevakorda võetud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule määruse ""Tartu linna koolieelsete munitsipaallasteasutuste rahastamisel vanemate poolt kaetava osa määra kehtestamine"" eelnõu esitamine"	"LV-IP-0131"	"Kairit Peekman"	"06.05.2016"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G99AB71CEA719D30AC2257FE3001F87A9?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G79BB2F25E3047D50C2257FC30027962C?OpenDocument"	"9"	"Väike eelnõu"	"Istungi päevakorda võetud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogule määruse ""Eraüldhariduskooli toetus"" eelnõu esitamine"	"LV-IP-0161"	"Kairit Peekman"	"30.05.2016"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G89E39764914D8FDAC2257FE3001F7F52?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G92DC11299D446DEAC2257FB4005B4017?OpenDocument"	"10"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu määruse ""Tartu Linnavolikogu 26. juuni 2014. a määruse nr 27 ""Koolitoetus"" muutmine"" eelnõu esitamine"	"LV-IP-0139"	"Kairit Peekman"	"15.05.2016"	"Riho Raave"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDD6D82D18F77328AC2257FCE001F8466?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G12D16D5E44B38FAFC2257FB4006AFA42?OpenDocument"	"11"	"Väike eelnõu"	"Lõpetatud"	"Tartu Linnavalitsus"	"Istungi protokolli kantav otsus"	"Tartu Linnavolikogu määruse ""Tartu Linnavolikogu 20. märtsi 2015. a määruse nr 61 ""Avaliku koha määramine, kus alkoholi tarbimine on lubatud"" muutmine"" eelnõu"	"LV-IP-0140"	"Helle Uusorg"	"15.05.2016"	"Urmas Klaas"
